"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "3502", "3620",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "4866", "6423",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "8883", "10706",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "428", "428",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2454", "3032",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "4523", "5201",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "924", "1366",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2636", "2636",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "9867", "13644",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "17005", "20562",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "522", "538",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1983", "2115",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3270", "3315",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "3934", "5129",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "7735", "8847",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "211", "211",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2151", "2478",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3416", "3741",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "83", "83",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1095", "1338",""
"Maulana Azad National Institute of Technology Bhopal", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1893", "1893",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "34941", "41149",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "44136", "52470",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "6560", "6644",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "8865", "8865",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "12491", "13682",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "17039", "18791",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "6457", "7080",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "9052", "9052",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "2682", "2950",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "3530", "3530",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "32776", "40080",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "41391", "43653",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6332", "6566",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7325", "7325",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "12278", "13372",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16979", "18095",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "994", "994",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6351", "6646",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "8494", "8494",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2615", "2616",""
"Maulana Azad National Institute of Technology Bhopal", "Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3617", "3617",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OPEN", "Gender-Neutral", "11754", "13793",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OPEN", "Female-only (including Supernumerary)", "23504", "23504",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "EWS", "Gender-Neutral", "2746", "2746",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "EWS", "Female-only (including Supernumerary)", "5459", "5459",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OBC-NCL", "Gender-Neutral", "5268", "7099",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "9812", "9812",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "SC", "Gender-Neutral", "4246", "4295",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "ST", "Gender-Neutral", "1883", "1883",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OPEN", "Gender-Neutral", "9037", "13695",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OPEN", "Female-only (including Supernumerary)", "18237", "18237",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "EWS", "Gender-Neutral", "1995", "1995",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OBC-NCL", "Gender-Neutral", "4458", "5113",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "5892", "5892",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "SC", "Gender-Neutral", "3411", "3499",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "SC", "Female-only (including Supernumerary)", "4851", "4851",""
"Maulana Azad National Institute of Technology Bhopal", "Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "ST", "Gender-Neutral", "1333", "1333",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "18033", "29571",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "34300", "39410",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1064", "1872",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4537", "4778",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6269", "6925",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS (PwD)", "Gender-Neutral", "267", "267",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8054", "10827",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "14727", "16819",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "971", "971",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4293", "5486",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6639", "9594",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1921", "2551",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2596", "2596",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "20678", "26403",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "30761", "37344",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1169", "1395",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "2546", "2546",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4018", "4214",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "6091", "6143",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "279", "279",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "7024", "9256",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "14624", "15771",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "673", "673",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4098", "5185",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6105", "7560",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1756", "2005",""
"Maulana Azad National Institute of Technology Bhopal", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3144", "3144",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "OPEN", "Gender-Neutral", "407", "1141",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "OPEN", "Female-only (including Supernumerary)", "417", "549",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "EWS", "Gender-Neutral", "152", "155",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "EWS", "Female-only (including Supernumerary)", "133", "133",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "OBC-NCL", "Gender-Neutral", "609", "2233",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "561", "561",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "SC", "Gender-Neutral", "671", "701",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "SC", "Female-only (including Supernumerary)", "1032", "1032",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "HS", "ST", "Gender-Neutral", "105", "173",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "OPEN", "Gender-Neutral", "120", "322",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "OPEN", "Female-only (including Supernumerary)", "106", "315",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "EWS", "Gender-Neutral", "102", "104",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "OBC-NCL", "Gender-Neutral", "103", "173",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "126", "129",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "SC", "Gender-Neutral", "92", "110",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "SC", "Female-only (including Supernumerary)", "88", "88",""
"Maulana Azad National Institute of Technology Bhopal", "Planning (4 Years, Bachelor of Planning)", "OS", "ST", "Gender-Neutral", "12", "37",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "19141", "27473",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "27668", "33697",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4459", "4628",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6470", "6470",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8821", "10057",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4199", "4809",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "7782", "7782",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "239", "239",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "4119", "4259",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "18956", "29494",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "35045", "35150",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1566", "1566",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4936", "5070",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "6589", "6589",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "8426", "10709",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "14063", "14063",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5209", "5458",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "7900", "7900",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2097", "2128",""
"Motilal Nehru National Institute of Technology Allahabad", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3095", "3095",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "14685", "18913",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "23442", "24611",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "726", "726",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3125", "3142",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5152", "5152",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "6406", "7686",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "11518", "11518",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3041", "3191",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "5960", "6200",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1802", "1815",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "11491", "20246",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "23342", "25841",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3079", "3079",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "4679", "4679",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "154", "154",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6995", "7442",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "11317", "11317",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "750", "750",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4032", "4339",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6428", "6428",""
"Motilal Nehru National Institute of Technology Allahabad", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1747", "1805",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16831", "23584",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "29807", "33767",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "443", "443",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3635", "3873",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6046", "6046",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "6460", "8366",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "13098", "14399",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "620", "620",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2452", "4153",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "4490", "4490",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1488", "2451",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "3238", "3238",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "15460", "26504",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "33449", "36259",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "733", "733",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1770", "1770",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4070", "4281",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5724", "5724",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "180", "180",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6936", "8519",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "12400", "14235",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2975", "4128",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5749", "6422",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "786", "1154",""
"Motilal Nehru National Institute of Technology Allahabad", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2306", "2306",""
"Motilal Nehru National Institute of Technology Allahabad", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "1696", "5335",""
