"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank","Closing Rank" ,"Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "2548","2548" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6557","6759" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7704","7704" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "11968","13975" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "17365","18071" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5319","6999" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "7304","7304" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2394","2507" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3639","3639" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "49373","64114" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "56305","78378" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "11909","14881" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "15239","15239" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "23971","57570" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "32420","48614" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "5208","11391" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "10628","10628" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "10834","10834" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "33187","44281" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "51237","53398" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "2172","2172" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7091","7381" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "9068","9068" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "13842","14857" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15329","18897" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6048","6803" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9438","9438" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1048","1568" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3021","3021" ,"NIT"
