"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7142", "7181","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "9339", "9339","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "13014", "14293","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "19773", "20397","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4999", "6228","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "7576", "7576","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1297", "1307","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2735", "2735","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "10292", "16940","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "14911", "20475","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "657", "657","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2938", "4051","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "3239", "3239","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS (PwD)", "Gender-Neutral", "464", "464","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "5814", "12760","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "6128", "15646","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2346", "4220","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "4131", "5763","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "198", "198","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "2480", "6283","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "12636", "12636","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "6330", "10957","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "14367", "17115","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "360", "360","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "271", "271","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1576", "1854","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2658", "2658","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2752", "3834","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "6499", "7675","Punjab","NIT"
