"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"National Institute of Technology, Kurukshetra", "Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "SC", "Gender-Neutral", "5408", "5408","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16175", "22127","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "23981", "29509","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3670", "3670","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6813", "6813","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8937", "12067","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "13723", "13971","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4574", "5300","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6932", "6932","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "9391", "9391","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "11638", "14399","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "18323", "20440","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2178", "2377","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3612", "3612","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4427", "5868","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "10732", "10732","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3517", "3947","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5049", "5049","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1410", "1410","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2569", "2569","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "35564", "43737","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "44341", "52632","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "7191", "7229","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "16450", "16848","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "19600", "19600","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "6886", "7229","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "10222", "10222","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "30321", "39314","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "43809", "43809","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "2410", "2410","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6375", "6375","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8991", "8991","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "12501", "13788","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16531", "16531","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5981", "6730","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9098", "9098","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "Production and Industrial Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2851", "2885","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "13571", "16498","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "23755", "24033","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2846", "3457","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6454", "6454","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "7753", "11903","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "12757", "12757","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4035", "4554","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "5267", "5267","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "6529", "11581","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "14850", "14850","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "916", "1040","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1843", "1944","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "3454", "5021","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "8030", "8035","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "483", "483","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "947", "2089","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4775", "5402","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "369", "1468","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "31305", "45275","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "41130", "46270","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "8172", "8202","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "15481", "17859","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "21996", "21996","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "7500", "9124","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "9126", "9126","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "15875", "32019","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "44034", "47032","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5376", "6673","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8366", "8366","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "11494", "13485","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16117", "16117","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4923", "6718","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "10137", "10137","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2764", "3224","Haryana","NIT"
"National Institute of Technology, Kurukshetra", "SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "4371", "4371","Haryana","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "120347", "230962","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "131071", "131071","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "82211", "125402","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "134344", "134344","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "31415", "35941","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "71782", "71782","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "4464", "7357","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "54655", "56358","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "68676", "68676","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "3669", "3669","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "9246", "9246","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "11245", "11245","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "17384", "18425","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "21724", "21724","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "8397", "8678","Manipur","NIT"
"National Institute of Technology, Manipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "4453", "4453","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "62074", "214958","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "83760", "163308","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "76480", "105233","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "122335", "148070","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "17281", "27870","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "15596", "15596","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "3800", "3800","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "5900", "5900","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "15616", "30611","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "38759", "43862","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4985", "5178","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7058", "7058","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "8750", "11118","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15757", "15757","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "675", "675","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4503", "4921","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6541", "6541","Manipur","NIT"
"National Institute of Technology, Manipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1864", "1922","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "216734", "461282","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "354850", "363608","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "180226", "426716","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "241931", "241931","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "39056", "42632","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "13459", "13459","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "20333", "20333","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "38450", "47728","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "52138", "55730","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7726", "7857","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "15054", "15926","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "20363", "20363","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7137", "7497","Manipur","NIT"
"National Institute of Technology, Manipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2546", "2546","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "251398", "476458","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "425686", "571950","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "177663", "299067","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "271955", "271955","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "46778", "123813","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "15068", "16654","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "35204", "40126","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "44558", "49722","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6532", "6532","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8183", "8183","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "11634", "12615","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "19120", "19120","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6935", "7814","Manipur","NIT"
"National Institute of Technology, Manipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2521", "2521","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "317560", "476682","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "194433", "716081","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "190456", "453798","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "379896", "379896","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "89902", "89902","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "10607", "10607","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "46956", "50535","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "63193", "66426","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "8375", "8375","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "11067", "11067","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "16235", "17474","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "22708", "22708","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "8152", "8264","Manipur","NIT"
"National Institute of Technology, Manipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "3076", "3076","Manipur","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "373312", "574304","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "846887", "846887","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "14578", "14578","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "43818", "56579","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "69070", "69524","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "9265", "9265","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "11447", "11447","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "18847", "18857","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "25124", "25124","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "8462", "8515","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "11990", "11990","Mizoram","NIT"
"National Institute of Technology, Mizoram", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2710", "2710","Mizoram","NIT"
